,P4_class,output_00,output_01
0,1,-2.26947021484375,2.2794036865234375
1,0,43.80384826660156,-41.602996826171875
2,0,12.120498657226562,-11.424331665039062
3,1,-2.3826751708984375,2.3826751708984375
4,0,9.857559204101562,-9.273147583007812
5,1,-2.370758056640625,2.372100830078125
6,1,-2.2335662841796875,2.2462310791015625
7,0,10.073898315429688,-9.479461669921875
8,0,10.077056884765625,-9.482391357421875
9,0,12.726028442382812,-12.019699096679688
10,1,-2.3826751708984375,2.3826751708984375
11,0,13.757736206054688,-12.992218017578125
12,0,16.084442138671875,-15.22149658203125
13,1,-2.3826751708984375,2.3826751708984375
14,0,8.941925048828125,-8.4014892578125
15,1,-2.26947021484375,2.2794036865234375
16,1,-2.3826751708984375,2.3826751708984375
17,0,24.529556274414062,-23.242630004882812
18,0,9.728256225585938,-9.14984130859375
19,1,-2.3826751708984375,2.3826751708984375
20,0,10.075531005859375,-9.480972290039062
21,0,27.034423828125,-25.600753784179688
22,0,17.788055419921875,-16.827713012695312
23,0,12.157684326171875,-11.477874755859375
24,0,10.073898315429688,-9.479461669921875
25,0,10.594589233398438,-9.969558715820312
26,1,-2.3826751708984375,2.3826751708984375
27,1,-1.39166259765625,1.4388427734375
28,1,-2.1554718017578125,2.174072265625
29,1,-2.3826751708984375,2.3826751708984375
30,0,39.45225524902344,-37.50004577636719
31,0,10.240966796875,-9.65045166015625
32,0,9.286697387695312,-8.722625732421875
33,0,18.659988403320312,-17.65899658203125
34,0,21.4503173828125,-20.33331298828125
35,0,31.419708251953125,-29.8409423828125
36,1,-2.3826751708984375,2.3826751708984375
37,0,14.51190185546875,-13.722366333007812
38,1,-2.3826751708984375,2.3826751708984375
39,0,13.291183471679688,-12.55853271484375
40,1,-2.3826751708984375,2.3826751708984375
41,1,-2.3826751708984375,2.3826751708984375
42,0,10.077056884765625,-9.482391357421875
43,1,-2.36968994140625,2.37115478515625
44,1,-2.2960052490234375,2.303924560546875
45,1,-2.3826751708984375,2.3826751708984375
46,0,10.965576171875,-10.285491943359375
47,1,-2.3826751708984375,2.3826751708984375
48,1,-2.3826751708984375,2.3826751708984375
49,0,57.05070495605469,-54.268341064453125
